,Name,Country,Room_stayed,Date_stayed,Trip_type,Review_date,Review_title,Positive,Negative,Reviewer_score
0,Silviu,Montenegro,Superior Double Room with City View,3 nights ·  July 2019,Couple,Reviewed: 16 July 2019,Exceptional,"the view from the double deluz room at 28th floor is breatthtaking... no to mention the restaurant on top. If you include breakfast(and if you ask me, it's a must!) you eat it there at the restaurant on top of the hotel with the amazing view. Great way to start the day",I added an extra day to the reservation via phone call but the payment didn't go through and I wasn't notified about this... I had to deal witht the issue on site when I arrived. Luckily it was resolved to the same room but it was only by chance.. since they could have given the room away.,10
1,Marie,United Kingdom,Superior Double Room,1 night ·  December 2020,Couple,Reviewed: 10 January 2021,My Novotel BirthdayTreat 🥳,"I was kindly upgraded to a city view room as it was my birthday, view was amazing! Room was very clean & bed was very comfortable! So comfortable in fact was extended our check out time until 2pm.",No parking at hotel.,8.0
2,Karrman,United Kingdom,Superior Double Room,1 night ·  December 2020,Solo traveller,Reviewed: 1 January 2021,Great hitel,Very friendly staff,Nothing,10
3,Jamal,United Kingdom,Superior Twin Room,1 night ·  December 2020,Couple,Reviewed: 20 December 2020,Exceptional,Excellent,Not Available,10
4,Gregory,South Africa,Superior Double Room,6 nights ·  December 2020,Solo traveller,Reviewed: 14 December 2020,Fabulous,The Facility and the staff were sonwarm,Not Available,9.0
5,Francesca,Italy,Superior Double Room,1 night ·  December 2020,Couple,Reviewed: 13 December 2020,Very good,Great reception! Thanks Sara. Amazing view from the room! Comfortable bed and good shower !,Stains on carpet and chairs.,8.0
6,Rodoba,United Kingdom,Executive Double Room,1 night ·  December 2020,Group,Reviewed: 12 December 2020,Exceptional,The view was everything.,Nothing that I can think of.,10
7,James,United Kingdom,Superior Double Room,1 night ·  December 2020,Group,Reviewed: 7 December 2020,"Brilliant - clean, safe and confortable",Excellent staff- wonderful and friendly greeting and handling of all matters,Nothing !!,10
8,Tanaka,United Kingdom,Superior Double Room,2 nights ·  December 2020,Couple,Reviewed: 7 December 2020,Weekend stay,Good location,Not Available,8.0
9,Chloe,United Kingdom,Superior Double Room,2 nights ·  December 2020,Solo traveller,Reviewed: 6 December 2020,Very good,There was a loud party going on in one of the rooms which kept me up but other than that good,Not Available,8.0
10,Francesca,United Kingdom,Superior Double Room,1 night ·  December 2020,Couple,Reviewed: 6 December 2020,Superb,Check in and out was easy. Comfortable bed and big TV. The rooftop bar Bokan has beautiful views! Very friendly and helpful staff throughout the hotel and bar.,Not Available,9.0
11,Alice,United Kingdom,Superior Double Room,1 night ·  December 2020,Solo traveller,Reviewed: 4 December 2020,Exceptional,"Hotel was great, very friendly staff and the room had an amazing view.
Lots of amenities in the room which is a bonus.",Bottled water in the room would be great.,10
12,Ria,United Kingdom,Superior Double Room with City View,1 night ·  October 2020,Couple,Reviewed: 5 November 2020,Lovely stay,Amazing view and good value for money. Roof top bar is exceptional good quality food and drink,Not Available,10
13,Forida,United Kingdom,Superior Double Room,1 night ·  November 2020,Couple,Reviewed: 5 November 2020,"Amazing, very accommodating due to the current circumstances",I loved the reception staff was amazing,"The staff, the room and the service",10
14,Lukasz,United Kingdom,Superior Twin Room,2 nights ·  October 2020,Solo traveller,Reviewed: 4 November 2020,Amazing hotel with incredible view on city of london and great service,amazing staff from reception to restaurant and cleaners. especially night manager,all was perfect,10
15,Ayisa,United Kingdom,Superior Double Room,2 nights ·  November 2020,Couple,Reviewed: 3 November 2020,AMAZING!,"Me and my partner loved everything about this hotel, especially the service! The staff were friendly and helpful with what ever we needed the breakfast was lovely also, especially the hot chocolate. I’m really happy that I booked this hotel & we will definitely be coming back. Thank you everyone at Novotel, we appreciate you!",Nothing! The property was lovely!,8.0
16,Lizzy,United Kingdom,Superior Double Room,1 night ·  November 2020,Couple,Reviewed: 2 November 2020,Birthday Trip 🍾,"WOW...
This hotel is honestly one of the best I’ve ever stayed in. From the moment we arrived, to the minute we checked out, everything was incredible 🤩
I’d booked it pretty last minute, for my boyfriend and I to celebrate his birthday. I emailed the hotel in advance to let them know it was a special occasion. Upon arriving at the hotel, one of the lovely ladies at reception (I didn’t catch her name) was so welcoming and told us everything we needed to know.
After checking in, we went up to our room on the 17th floor (1706). WOW x2! The room was spotlessly clean, and was honestly better than I could have ever hoped. The highlight was probably the amazing view of the city skyline. Seeing London at sunset, lit up at night and waking up to it in the morning was incredible.
Upon exploring the room, we came across a birthday card and caramel chocolate left for my boyfriend - such a nice touch. It sounds a bit odd, but we also couldn’t get over how nice the bathroom was! I mean the glass wall in the shower frosts with the touch of a button... we even took a video 😂
After checking in, we went down to use the pool. Again, everything was perfect. The changing rooms were so nice and clean and the pool was beautiful! Great temperature and the perfect way to unwind after travelling into Canary Wharf from Essex.
After using the pool, we came back up to our room to order a snack and a few drinks via room service. Great service again - the fries, along with a couple of beers, with our view of London went down a treat!
We didn’t visit the hotel restaurant (Bokan) for dinner, but we did go up to the bar later on that night. The service was impeccable once again, and the rooftop bar has the best 360 degree views of london 🥂
Honestly, don’t even hesitate to book this hotel!",Everything was perfect!,10
17,Jadon,United Kingdom,Executive Suite,2 nights ·  October 2020,Family,Reviewed: 2 November 2020,Executive suite was great!,"Stayed in the executive suite, had an amazing view, nice room and 60 inch tv, was great for setting up my work station and looking at the chart.",Not Available,10
18,Halil,United Kingdom,Studio Suite,5 nights ·  October 2020,Solo traveller,Reviewed: 1 November 2020,Amazing!,The hotel is lovely and clean and staff are so friendly and helpful. The restaurant and bar on the top floor has one of the best views of London. 10/10!!!,N/A,10
19,Victoria,United Kingdom,Superior Double Room,2 nights ·  October 2020,Family,Reviewed: 1 November 2020,Exceptional,loved everything about the hotel! the staff and the service - excellent,Not Available,10
20,Emily,United Kingdom,Executive Double Room,3 nights ·  October 2020,Couple,Reviewed: 30 October 2020,Superb,"The views are stunning
The staff are very helpful",Not Available,9.0
21,Joshua,United Kingdom,Superior Double Room,1 night ·  October 2020,Couple,Reviewed: 30 October 2020,Great stay as usual,"I like the room , staff are great always an perfect stay",Only concern was the food as I’ve stayed before and this visits was for my birthday treat to myself. Bar food chicken teriyaki wasn’t cooked and potato skins where rock hard but spoke to staff and had complementary drink. Issue was I was actually hungry and wanted to have a main for me and my partner. Hope on the next visit it’s not the same as I enjoy my stay each time and will stay again,9.0
22,Carl,United Kingdom,Superior Double Room,1 night ·  October 2020,Couple,Reviewed: 29 October 2020,Wonderful,"Breakfast weren’t too Shabby, omelette was very dry. Stay overall very decent.",No sauna or steam room,8.0
23,Sarah,United Kingdom,Superior Double Room,1 night ·  October 2020,Couple,Reviewed: 29 October 2020,"Perfect location, minor issues with our stay but would book again.","Nice room, comfy bed and large TV
Tea, coffee and hot chocolate provided
24 hour room service a bonus as we were late arriving.
Perfect location for our trip to London","No milk for tea/coffee supplied
Whats app service promoted on the TV but my messages were ignored
Few toiletries, not even enough for both of us
Fridge and kettle were switched off - unable to get to sockets without pulling fridge out
No tables available for evening meal - we should have pre-booked but we didn't think we would need to.",8.0
24,Alf,United Kingdom,Superior Double Room with City View,1 night ·  October 2020,Couple,Reviewed: 28 October 2020,Very good,Great room and excellent views of the city,I am owed £20 as i paid a £50 deposit but 30 was taken for early check in i am owed £20,8.0
25,Radon,United Kingdom,Superior Double Room with City View,1 night ·  October 2020,Solo traveller,Reviewed: 28 October 2020,"A wonderful, modern hotel with superb rooms and views to match. Highly recommended!!!","Superb room, very modern. The view was fantastic, as were the staff!",Can't think of anything.,10
26,Nick,United Kingdom,Executive Double Room,2 nights ·  October 2020,Couple,Reviewed: 27 October 2020,Very good,"Staff super nice and helpful, position excellent, restaurant and bar really very good and staff in both very good and professional. View across the City at night dramatic.","Covid had an impact eg no mini bar in room (but free drink instead). Issue with the room initially but quickly sorted (twin not double as booked) and final billing incorrect but again, resolved effectively.",8.0
27,Dominic,United Kingdom,Executive Double Room,3 nights ·  October 2020,Couple,Reviewed: 27 October 2020,Very happy,"Location was brilliant with a great view of London, staff were very polite and friendly!",Very expensive for the dinner.,9.0
28,Toby,United Kingdom,Superior Twin Room,1 night ·  October 2020,Group,Reviewed: 27 October 2020,Superb,"Well run even through covid issues.
Amazing views if the city.",Not Available,9.0
29,Graham,United Kingdom,Superior Double Room,2 nights ·  October 2020,Couple,Reviewed: 25 October 2020,Exceptional,"New, clean good view. Nice rooftop bar/restaurant",Not Available,10
30,Leigh,United Kingdom,Superior Double Room,1 night ·  October 2020,Family,Reviewed: 22 October 2020,Superb,Comfort and trend,Didn’t have the breakfast would like a refund for it if possible just the breakfast,9.0
31,Corey,United States,Studio Suite,2 nights ·  October 2020,Solo traveller,Reviewed: 22 October 2020,Superb,"Ana made the day as weirdly, there was another guest with my exact same name who was trying to enter my room. The reception, Ana, provided a free bottle of Prosecco for the inconvenience.","The only issue was I had a suite, but the suite did not come with any glassware, silverware nor bottle openers.",9.0
32,Natalie,United Kingdom,Executive Double Room,1 night ·  October 2020,Couple,Reviewed: 19 October 2020,Exceptional,"The hotel was beautifully designed and the view from our room was stunning. 
The roof terrace, restaurant and bar were all on the top floors with spectacular views too.",Nothing. The only thing I didn’t like about the stay was the breakfast. Sausages and eggs were not tasty and a little strange!,10
33,Freya,United Kingdom,Superior Double Room,1 night ·  October 2020,Group,Reviewed: 18 October 2020,Exceptional,"Favourite hotel in London, great rooms, facilities and food. Hotel staff are so friendly and accommodating, especially Sara on the front desk who was nothing but helpful and cheery :)",Not Available,10
34,Filipczuk,Ireland,Superior Double Room with City View,1 night ·  October 2020,Couple,Reviewed: 18 October 2020,Superb,View from window,Little more bread for breakfast and there was no pen,9.0
35,Abbie,United Kingdom,Studio Suite,1 night ·  October 2020,Couple,Reviewed: 18 October 2020,Exceptional,"Everything, location, rooms were lovely, pool was lovely, food and drinks were lovely, had no problems what so ever even during these difficult times",Nothing,10
36,Kayleigh,United Kingdom,Superior Double Room,1 night ·  October 2020,Couple,Reviewed: 18 October 2020,"Great location, great hotel.",Breakfast was lovely,Nothing,10
37,Robert,United Kingdom,Superior Double Room,3 nights ·  October 2020,Couple,Reviewed: 17 October 2020,Exceptional,"Modern, stylish, cool. Amazing view to the City.",No jacuzzi. Water in the pool is a bit cold.,10
38,As,United Kingdom,Superior Double Room,1 night ·  October 2020,Couple,Reviewed: 16 October 2020,Very good,Absolutely incredible view of London,Nil,8.3
39,Dionne,United Kingdom,Superior Double Room,1 night ·  October 2020,Couple,Reviewed: 16 October 2020,Great stay,Staff was very friendly and accommodating. Breakfast was great with lovely views.,Changing room for the swimming pool was quite messy and no towels,9.0
40,Faith,United Kingdom,Superior Double Room with City View,1 night ·  October 2020,Couple,Reviewed: 12 October 2020,Just super,I love everything about your hotel and the staff at receptions are super,Nothing,10
41,Katy,United Kingdom,Superior Double Room,1 night ·  October 2020,Couple,Reviewed: 11 October 2020,Amazing stay,"Amazing stay, gorgeous view from our room. Pool was lovely. Staff very friendly and helpful. Breakfast was delicious. We can't wait to return.
Also booked the Boken resturant for dinner, food was amazing.",We liked everything.,10
42,Kyomi,United Kingdom,Superior Twin Room,1 night ·  October 2020,Family,Reviewed: 11 October 2020,Breathtaking,The views the breakfast the staff the bathroom everything was amazing .,Not Available,10
43,Peter,United Kingdom,Superior Double Room,1 night ·  October 2020,Couple,Reviewed: 11 October 2020,Good night stay,Clean and a good bar and restaurant/staff,Clean,10
44,Liam,United Kingdom,Superior Double Room with City View,2 nights ·  October 2020,Couple,Reviewed: 11 October 2020,"Amazing, excellent staff and accommodation","The room and views were amazing
Staff were very attentive and considerate 
Would like to say a special thank you to Ines on front desk and Bruno in the bar for make sure our stay was special",N/a,10
45,Luca,United Kingdom,Superior Twin Room,1 night ·  October 2020,Group,Reviewed: 10 October 2020,Excellent,"Swimming pool
Superior double rooms 👌🏽",Not Available,10
46,Lorraine,United Kingdom,Superior Double Room,1 night ·  October 2020,Family,Reviewed: 10 October 2020,We had a wonderful stay.,Very friendly Staff.,"Room was very corporate which seemed different to the online pictures;
Wasn't able to find phone number of hotel before booking to see if all facilities were available - unfortunately couldn't use the spa which is one of the main reasons this hotel was chosen.",8.0
47,Carmen,United Kingdom,Superior Double Room with City View,1 night ·  October 2020,Couple,Reviewed: 9 October 2020,Very good,"The staff were brilliant, the view from the rooftop terrace just amazing.",The car park was far from the hotel.,8.0
48,Nisha,United Kingdom,Superior Double Room,3 nights ·  October 2020,Couple,Reviewed: 8 October 2020,"Fantastic stay, modern, spacious rooms! Would recommend!","The room was perfect! It was spacious, modern & close to restaurants/shopping centre and underground. Staff were amazing! Ines at reception gave us a city view for our anniversary, was much appreciated. Pool was great too!",Nothing. Everything was perfect,10
49,Costica,United Kingdom,Superior Double Room with City View,1 night ·  October 2020,Family,Reviewed: 6 October 2020,Good hotel for short time.,It is nice and clean,"Breakfast poor not much quality and the view I was at level 12 and I got city view and all the building site as well , but next visit I will get executive’s rooms are high up.",8.0
50,Fatima,United Kingdom,Superior Double Room,1 night ·  October 2020,Couple,Reviewed: 5 October 2020,Superb,"Great location, an amazing view!",Due COVID-19 few facilities were close.,9.0
51,Jamelah,United Kingdom,Superior Double Room,1 night ·  October 2020,Couple,Reviewed: 5 October 2020,Very good,I loved the pool and how clean the hotel room was.,The service wasn’t as fast.,8.0
52,Anne-marie,United Kingdom,Superior Double Room,2 nights ·  September 2020,Couple,Reviewed: 20 September 2020,We absolutely love it here x,"The views, the staff always love to come here x",We love everything,10
53,Gordon,United Kingdom,Superior Double Room,2 nights ·  February 2020,Solo traveller,Reviewed: 22 March 2020,Superb,"Nice rooms, lovely bar area.
Friendly staff",Wasn’t the cheapest in the area for the same rating.,9.0
54,Bhajan,United Kingdom,Superior Double Room,1 night ·  March 2020,Couple,Reviewed: 16 March 2020,Superb,Bokan!,Not Available,9.2
55,Owen,United Kingdom,Executive Double Room,1 night ·  March 2020,Couple,Reviewed: 15 March 2020,Brilliant,"The facilities and staff weee exceptional couldn’t fault anything, enjoyed the mini bar and the products supplied",Nothing,10
56,George,United Kingdom,Superior Double Room,1 night ·  March 2020,Couple,Reviewed: 14 March 2020,Exceptional,Amazing view of London,Not Available,10
57,Graeme,United Kingdom,Superior Twin Room,1 night ·  February 2020,Group,Reviewed: 12 March 2020,"Breif but enjoyable , would visit again with my Wife","Room was very nice
Rooftop bar and restaurant looked good but didn't try
Location good
Staff very nice and polite
The views from the room were spectacular","Quality of the breakfast for the price wasn't up to standard. Premier Inn do a better breakfast for less
How to use the lift is a bit hit and miss you have to use your card each time a floor button is pressed and although there is a small sign everyone learns off other guests. You could be told this at check in",8.0
58,Kate,United Kingdom,Superior Double Room,1 night ·  March 2020,Family,Reviewed: 9 March 2020,Would recommend!,Clean new modern hotel. Rooms bigger than normal for London. It is possible to have a room with a fantastic view of the Thames! Great public transport links. Perfect location for Canary Wharf meetings.,"Nothing, we liked everything!",10
59,James,United Kingdom,Executive Double Room,1 night ·  March 2020,Couple,Reviewed: 9 March 2020,Amazing,The view from our room and from breakfast was amazing. Perfect view. The room was spacious and very comfortable and everything you needed was there.,The wind rattled the window a little. But wasn’t a major issue.,9.6
60,Claire,United Kingdom,Superior Double Room,1 night ·  March 2020,Couple,Reviewed: 8 March 2020,Exceptional,"Fantastic hotel , amazing views and excellent staff ,will return",Nothing,10
61,James,United Kingdom,Executive Double Room,1 night ·  March 2020,Couple,Reviewed: 8 March 2020,Very comfortable and luxurious.,"The view from our room and breakfast. 
The bed was really comfy. 
Shower privacy glass. 
Room was spacious and had good storage and all utilities we needed and more.",The wind was rattled the window. But wasn’t a major issue.,10
62,Sue,United Kingdom,Superior Double Room,1 night ·  March 2020,Couple,Reviewed: 8 March 2020,Very good,"Room, breakfast, bar",Coffee and milk in room,8.0
63,Hayley,United Kingdom,Executive Double Room,1 night ·  March 2020,Couple,Reviewed: 8 March 2020,"Fantastic hotel ,what more could you want!","This was such a lovely hotel, it was about a 5/10 minute walk from the tube station. We had an amazing room that had such lovely views of London. The staff were really helpful and friendly. The buffet breakfast was delicious and the view was again amazing. 
Very clean, Excellent value for money!","Nothing,we loved the hotel!",10
64,Angel,United Kingdom,Superior Double Room,1 night ·  March 2020,Family,Reviewed: 7 March 2020,Good stay in comfortable and clean room,Room was quite chilly despite turning thermostat up,Not Available,8.0
65,David,United Kingdom,Superior Double Room,1 night ·  March 2020,Couple,Reviewed: 7 March 2020,Very good,Good location for 02.,Not Available,8.0
66,Donna,United Kingdom,Superior Double Room,1 night ·  February 2020,Couple,Reviewed: 7 March 2020,Exceptional,Location is perfect for travelling on Thames,Not Available,10
67,Karen,United Kingdom,Superior Double Room,1 night ·  March 2020,Couple,Reviewed: 6 March 2020,Fabulous stay would definitely book again,The hotel was fabulous and the room was perfect.,That we had to call rom Service to open our beer bottles each time as the room did not have one provided,10
68,Klaudia,United Kingdom,Superior Twin Room,1 night ·  March 2020,Solo traveller,Reviewed: 6 March 2020,Perfect gateaway,"The location in Canary Wharf is lovely, the service is excellent and the staff is always willing to go the extra mile. The hotel is beautiful and comfortable as well, views are breathtaking and breakfast was delicious.",Not Available,10
69,Stephanie,United Kingdom,Superior Double Room,1 night ·  March 2020,Couple,Reviewed: 5 March 2020,Superb,Carla receptionist was LOVELY,the sauna wasn’t hot at all :(,9.0
70,Gary,United Kingdom,Superior Double Room,2 nights ·  February 2020,Couple,Reviewed: 4 March 2020,No major faults but a few points make it less than the ideal hotel in the area.,Check in staff very good (Carlos). Breakfast staff top notch (sorry - no names). Room was very good (no complaints regarding comfort). Breakfast buffet was adequate and well-stocked (I wonder if omelettes were available?).,"No hot water on day of departure. Not being able to have a warm shower, shave, shampoo, was a real let down. Location is a 15min walk from the centre of Canary Wharf activities and transport links (underground and DLR); ok for me, perhaps not so for the less fit or mobile.",8.0
71,Andreea,United Kingdom,Superior Double Room with City View,1 night ·  January 2020,Couple,Reviewed: 3 March 2020,Amazing experience! breathless view over London :),"I have stayed with my boyfriend. I booked a room with a view especially to celebrate his birthday. Everything was perfect. It was a small detail that they probably forgot, and that was, to put two glasses of wine in the room, but this would not change my opinion about the place. It is a very good area, an amazing view, absolutely breathless. I would like to thank you to France, who organised everything for me. You guys, are an amazing team! Keep it as you are! I work also in hospitality and I know what means to exceed client expectations and how hard it is. so...a massive THANK YOU to France and the whole Team, Novotel Canary Wharf. 
I will recommend this place to all my friends :) 
Warm regards, 
Andreea","I liked everything :). There is nothing to not like to this place. Even having breakfast/dinner/drink to the last floor, without booking a room in the hotel, would be the best decision ever. I just love this place. It became so close to my heart now and I started to go there from time to time with friends to have a drink in my days off. :)",10
72,Judy,United Kingdom,Superior Double Room,3 nights ·  March 2020,Couple,Reviewed: 1 March 2020,Pool closures,"Everything was good - comfortable
bed, nicely designed room, good breakfast and good service. Very nice pool and saunarium. (yes really) using the relatively small space well","The pool is advertised as closed for
maintenance Monday-Friday 12-3. So what they really mean is that they shut the pool
for three hours each day between latest checkout and earliest checkin so if
you’re staying during the week and hope to get a lovely quite swim you’re not going to.",9.6
73,Neil,United Kingdom,Superior Double Room,1 night ·  March 2020,Couple,Reviewed: 1 March 2020,Fabulous,Clean and comfortable rooms with great views across London. Excellent breakfast.,Not Available,8.8
74,Magdalena,United Kingdom,Superior Double Room with City View,1 night ·  March 2020,Couple,Reviewed: 1 March 2020,Yaiza was a delight,"View was spectacular 
Very friendly staff (Yaiza in particular) 
Clean and tidy","Carpet slightly worn, privacy screen on bathroom still visible outline of people.",10
75,Jane,United Kingdom,Superior Twin Room,1 night ·  March 2020,Couple,Reviewed: 1 March 2020,Exceptional,Breakfast was very good,"Amazing hotel,very good value for money and very convenient for the O2 which was the purpose of the stay.",10
76,Alicja,United Kingdom,Superior Double Room,1 night ·  March 2020,Couple,Reviewed: 1 March 2020,Exceptional,"Great room, lovely view and enjoyed the facilities",Not Available,10
77,Josie,United Kingdom,Superior Double Room,1 night ·  February 2020,Couple,Reviewed: 1 March 2020,Great location & comfortable accomodation,"Breakfast buffet was exceptional, the hot food selection was hot which is not always the case with buffet food. Great selection of cereal, fruit, bread etc.",Not Available,9.0
78,Kirsty,United Kingdom,Executive Suite,1 night ·  February 2020,Couple,Reviewed: 1 March 2020,Exceptional,Amazing place and amazing staff.,Nothing,10
79,Dominic,United Kingdom,Superior Double Room,1 night ·  February 2020,Solo traveller,Reviewed: 29 February 2020,"Staff Superb, Hotel Amazing, Thoroughly enjoyed my Stay","Arrived early at the hotel and was greeted by the Manager, Tim i think his name was. His customer service is exceptional, I remember it from last time. Checked in, the room was lovely and the staff wherever I went were exceptional. Had a lovely snack in the bar, staff again were excellent, food was quite expensive but London isnt cheap overall anyway so expected as I work in london.
If you dont like heights like me, i would still recommend going to the bar for the views as well. 
Room was a Superior Room, bed was nice, nice view, tv, shower, fridge all mod cons.
Before I went home in the morning I went to Breakfast which was included in my package. The Breakfast is magnificient. so much choice! The whole hotel was clean, modern and staff in my view were the highlight.
Very happy stay, there wasnt any hot water in the morning in the whole hotel and staff apologised so I couldnt shower but that said way too many positives to stop me going back, its like home from home, fantastic!",The lack of hot water in the shower but sadly this was the whole hotel and I wouldnt mark the hotel down for it as it was unfortunate and didnt happen last time I went.,10
80,Andrew,United Kingdom,Superior Double Room,1 night ·  February 2020,Solo traveller,Reviewed: 28 February 2020,A really impressive hotel for a good price,Room was lovely and smart. The hotel has a great bar overlooking London so a great addition.,Not Available,8.0
81,Joanne,United Kingdom,Superior Double Room,1 night ·  February 2020,Group,Reviewed: 28 February 2020,"Brilliant, enjoyable stay, would recommend this hotel.","Breakfast had a great choice, something for everyone, staff worked to get all 6 of us together on one table. On check out popped back and told the manager we had had a lovely stay which he seemed delighted with, all the staff were happy and polite and interested in meeting guests requirements.",Nothing.,9.0
82,Maciuca,Romania,Superior Double Room,3 nights ·  February 2020,Couple,Reviewed: 27 February 2020,Very good,"Staff, cleaning, the hotel is positioned very ok, breakfast, utilities.","There are no smoking balconies.There are no smoking areas except on the 38th or ground floor.
Pool",8.0
83,Ivan,United Kingdom,Superior Double Room,1 night ·  February 2020,Couple,Reviewed: 26 February 2020,Amazing,"Amazing hotel, amazing customer service, amazing breakfast. Worth my money and more. Thank you to staff for being so kind and extra caring towards me and my pregnant girlfriend, i really enjoyed my stay. The room was amazing with an extraordinary view and the room was spotless. At check in the Girl that checked us in was very kind and welcoming wish I could remember her name.",Not Available,10
84,Emily,United Kingdom,Executive Double Room,1 night ·  February 2020,Couple,Reviewed: 25 February 2020,"Amazing, would definitely come back, great value for money.","The view from the room was gorgeous, it was so easy to just sit and look out over the city. The room, including the bathroom was clean and really modern. The whole feel of the hotel was very casual but fancy at the same time.",The security on the top floor at the bar was very intimidating and made me not want to go to the bar. Our shower leaked ever so slightly but I'm sure they will sort it as we let them know at the end of our stay.,9.0
85,Zico,Luxembourg,Superior Double Room,4 nights ·  February 2020,Couple,Reviewed: 24 February 2020,Great hospitality!,"The view of the city was just amazing. The staff were outstanding, right from the time I first contacted them, to when we arrived, stayed and checked out. Very convenient location and the hotel was clean and well maintained and the breakfast spread was really good as well.",Not Available,10
86,Tyrique,United Kingdom,Superior Double Room,2 nights ·  February 2020,Couple,Reviewed: 24 February 2020,Very good,the aesthetic and customer service was amazing.,"The breakfast was not nice, flavour off and some things under cooked",8.0
87,Tasha,United Kingdom,Superior Double Room with City View,1 night ·  February 2020,Couple,Reviewed: 24 February 2020,Exceptional,"The staff were absolutely amazing, so nice, helpful and nothing was too much. Amazing experience. Bar and resteraunt were lovely too",Not Available,10
88,Jacqueline,United Kingdom,Executive Suite,1 night ·  February 2020,Couple,Reviewed: 24 February 2020,Exceptional,Very helpful welcoming staff,Not Available,10
89,Natalie,United Kingdom,Superior Twin Room,1 night ·  February 2020,Family,Reviewed: 23 February 2020,We had a wonderful comfortable stay,"We loved the friendly service, the spa and the breakfast",Location wasn’t too convenient,8.0
90,Yvonne,United Kingdom,Superior Twin Room,1 night ·  February 2020,Family,Reviewed: 23 February 2020,Exceptional,Staff very friendly. Quiet room with great views.,Little further to walk to tube than advertised,10
91,Evie,United Kingdom,Superior Double Room with City View,1 night ·  February 2020,Couple,Reviewed: 22 February 2020,Exceptional,"It was clean and had everything to accommodate us. We had a lovely stay, the rooms were very large with incredible views and the hotel facilities including breakfast were fab. Would highly recommend. X",N/A,10
92,Cat,United Kingdom,Superior Double Room,3 nights ·  February 2020,Solo traveller,Reviewed: 21 February 2020,Very good,The view and breakfast,Bath was mouldy,8.0
93,P,United Kingdom,Superior Double Room with City View,1 night ·  February 2020,Couple,Reviewed: 20 February 2020,Exceptional,"Staff were excellent 
Fridge was full. Lots of complimentary items. Would go again",Nothing,10
94,Stephany,United Kingdom,Superior Double Room with City View,1 night ·  February 2020,Couple,Reviewed: 19 February 2020,Beautiful view,"Requested a room with a view. Dunno if it’s all rooms that have one, but it was beautiful...",Not Available,8.8
95,Elizabeth,United Kingdom,Superior Double Room,3 nights ·  December 2019,Solo traveller,Reviewed: 18 February 2020,Exceptional,Staff were amazing.,The view wasn’t great but everything else was perfect.,10
96,Chantay,United Kingdom,Superior Double Room,1 night ·  February 2020,Couple,Reviewed: 18 February 2020,Exceptional,very modern and stylish staff were lovely!,Not Available,10
97,Ade,United Kingdom,Superior Double Room,1 night ·  February 2020,Couple,Reviewed: 18 February 2020,Great night for Valentine's Day,"We stayed here for Valentine's Day and we were very pleased. Our room had an amazing view across London looking out towards The Shard. The room was clean and well presented. All the staff members we met had a smile and were extremely accomodating.
Would I stay here again? 100% yes! And I think you should too.",N/A,10
98,Raghiyb,United Kingdom,Superior Double Room,2 nights ·  February 2020,Couple,Reviewed: 17 February 2020,Exceptional,The staff were very friendly and the hotel service was quick when we had a problem with our room,Not Available,9.6
99,Carolyn,United Kingdom,Superior Double Room,1 night ·  February 2020,Couple,Reviewed: 17 February 2020,Great city night,"Fabulous view
Loved the shower setting with the glass to the bedroom and out; power good too.
The wedding treat - chocolate strawberries in our room - yum.","They need another lift
Queue for breakfast",9.0
100,Ellen-louise,United Kingdom,Executive Suite,1 night ·  January 2020,Couple,Reviewed: 17 February 2020,Exceptional,Fantastic location with amazing views,Not Available,10
101,Julie,United Kingdom,Superior Double Room,1 night ·  February 2020,Couple,Reviewed: 16 February 2020,Exceptional,"Lovely room, sparkling clean, really comfortable. Outstanding service from the staff. This is my second stay here and can’t wait to come back.","Nothing, it was perfect.",10
102,Silvia,United Kingdom,Superior Double Room,1 night ·  February 2020,Group,Reviewed: 16 February 2020,Very good,Bed extremely comfy,Clicking noise due to windy weather,8.0
103,Peter,United Kingdom,Superior Double Room,1 night ·  February 2020,Couple,Reviewed: 16 February 2020,Very pleasant but breakfast facilities need reviewing,The personal happy birthday card was a nice touch,"The wind rattled the windows all night long and struggled to get to sleep 
Breakfast wasn’t very pleasant and stock wasn’t replenished that quickly 
Table we had was very low and awkward to eat from 
Understand it was very busy",8.0
104,Colin,United Kingdom,Superior Double Room,2 nights ·  February 2020,Couple,Reviewed: 16 February 2020,Staff were very welcoming and helpful. Bedroom was clean and warm with a nice breakfast,"Hotel was close to underground, 10 min walk, staff were always helpful and room was warm and clean. Good selection at breakfast with an excellent view of London. The gym and saunarium also kept tidy and clean.","While it clearly states there is a GBP50 damage deposit required upon arrival, (card is charged) it should be clearly stated this charge is per night rather than per stay.",9.0
105,Henry,United Kingdom,Superior Double Room with City View,1 night ·  February 2020,Couple,Reviewed: 15 February 2020,I enjoyed my stay and another told me in my wife for Valentine's night was really great and the food,my name is HENRY..it was really nice for me and my wife,I would say bigger pillows in the bed,9.0
106,Tonia,United Kingdom,Superior Double Room,1 night ·  February 2020,Couple,Reviewed: 13 February 2020,Very good,"The room set up, the facilities, and the overall feel to the hotel. Would come back again.....in the summer.","The way the wind would effect the building. It was windy all night, which was creating a creeking noise which was unsettling, and disturbed my sleep. Myself and many other customers complained.",8.0
