,Name,Country,Room_stayed,Date_stayed,Trip_type,Review_date,Review_title,Positive,Negative,Reviewer_score
1152,Theresa,United Kingdom,Superior Twin Room,1 night ·  January 2019,Family,Reviewed: 21 January 2019,"Nice stay, good hotel but expensive","The staff were friendly and helpful
The pool facilities were good
Hotel was clean and good quality.
Would recommend","Coach party turned up and stood in a queue to getting to lift to get to our room on 25th floor for a long time.
The food and room service was expensive to the point of obscene. Passable pizza was £12, over cooked chips from the freezer were £5. Posh names on menu for mediocre food.
I was asked to bring ID which I did but they wanted ID for my granddaughter who is 5 and travelling with me. This was not made clear on documents and requirements and if it had been , what on earth could I bring to prove our relationship, birth certificate and passport would not prove this and letter from my daughter could easily have been written by myself. For future reference what would be acceptable for this?",7.1
1153,Laura,United Kingdom,Superior Double Room,1 night ·  January 2019,Solo traveller,Reviewed: 14 January 2019,Good,Staff were lovely!,"Overall there were no issues however, the fragrance at the front desk is very overpowering. I’m not certain why it’s needed 😬",7.1
1154,Marcel,Germany,Superior Twin Room,2 nights ·  January 2019,Solo traveller,Reviewed: 9 January 2019,Pleasant,the bed was comfortable,"the water in the shower was blocked and the TV remote control did not work, even after giving the Feedback at receiption desk.",6.2
1155,Ben,United Kingdom,Superior Double Room,1 night ·  January 2019,Couple,Reviewed: 7 January 2019,"Lovely hotel, rude staff. Overall annoyed that it was ruined.","The room, the view, the facilities were good, nice rooftop bar.","The fact we had NO hot water, and it took 50 minutes to fix, which then made us over an hour late, the staff were not very understanding, didn’t really seem to care that we had plans, the house keeping kept knocking at our door at 09:45 when check out wasn’t until 12 noon and carried on knocking until we answered. Then the fire alarm went off 3 times at 11am and had no good gesture of compensation.",6.2
1156,Borhan,United Kingdom,Superior Twin Room,2 nights ·  January 2019,Group,Reviewed: 5 January 2019,Shittt**,"Room was so small, I wasn’t expect that with paying a lot of money. Indeed, u pay for the location 😩",Not Available,5.4
1157,Roman,United Kingdom,Superior Double Room,3 nights ·  January 2019,Couple,Reviewed: 3 January 2019,Disappointing,"Room was way different from what we had expected to be. If you book superior room you’ll get 3* hotel room. It’s no where near as nice as photos show. Also bathroom was dirty and wall in the bathroom was shabby. We were really disappointed by this hotel. For the price paid, we expected more.",Not Available,4.6
1158,Karl,Sweden,Superior Double Room,4 nights ·  January 2019,Couple,Reviewed: 3 January 2019,Meeeh!,Modern hotel. Nice breakfast and view from the 38th floor.,"The cleanliness of the room was so and so. You could notice that they didn't vacuum everyday. Also the bathroom amenities were a bit random. Sometimes no schampoo, but double of shower gel for example. 
Biggest concern was the booking of the NYE event where I was asked to send my reservation to an email which I yet have not received any response from. After speaking to three different staff members (at three different times) I got the message that they were fully booked about 5 hours before the event should start.",5.8
1159,Jolanta,United Kingdom,Superior Double Room,1 night ·  December 2018,Solo traveller,Reviewed: 29 December 2018,"Nice room and internet, but breakfast wasn’t good.",Good bar and location,Breakfast staff was very grumpy,6.2
1160,Hatice,United Kingdom,Superior Twin Room,1 night ·  December 2018,Group,Reviewed: 26 December 2018,Okay,It was close to everything we needed,The beds were so uncomfortable,5.8
1161,Sean,United Kingdom,Executive Double Room,2 nights ·  December 2018,Group,Reviewed: 22 December 2018,"Ok stay, made that by friends","Breakfast ridiculously expensive, lifts not working properly",Lifts,7.1
1162,Snhf,Thailand,Superior Double Room,2 nights ·  December 2018,Family,Reviewed: 20 December 2018,Disappointing,The rest of the staff are very nice.,"Family with more than 1kid are not allow to stay in the same room. I really have a bad experience with this hotel. Even they offer the half price for another room, I am not happy that I have to sleep separate from the kids especially the vacation trip.
I have been stay in many hotel over the world but for this hotel policy is unacceptable. I will not stay in any Novotel hotel again. 
The check in staff especially manager should have more thoughtful and more polite and may be have a bit care of customer feeling. There are a million ways how to talk and negotiated. Even in the end she help, it does not make me feel any better.",4.2
1163,Richard,United Kingdom,Superior Double Room,1 night ·  December 2018,Couple,Reviewed: 19 December 2018,Avoid like the plague,"Check in took half an hour, staff allowed people to jump the queue. Our room key didn't work, we waited outside the room for 20 minutes for someone to let us in (requiring 2 phone calls at 11pm to remind them we needed help). The bed was not made, the mattress protector too small and no shampoo/conditioner provided. I complained on the day, 5 days later still no acknowledgement. For £162 it was absolutely not worth it. Avoid!",Not Available,4.6
1164,Paulina,United Kingdom,Superior Double Room,1 night ·  December 2018,Couple,Reviewed: 16 December 2018,Passable,The facilities that we were given were disabled facilities. Neither of us were disabled and this was very disappointing as I booked the room in November. They should’ve had a room assigned to us as I called and specified this was a birthday get away for me & my partner.,Not Available,5.4
1165,Gail,United Kingdom,Superior Double Room,1 night ·  December 2018,Couple,Reviewed: 16 December 2018,"Great location, great room but poor customer service.","Customer service when checking out, staff remained on phone, took our keys and dismissed us. Still waited hor invoice!",Not Available,6.7
1166,Pat20000,Germany,Superior Double Room,1 night ·  December 2018,Couple,Reviewed: 9 December 2018,Pleasant,the view out from the restaurant was good.,"bad smell from the bathroom sink, now cosmetic tissues arent filled up. Breakfast long waiting line, we decide not to wait for the breakfast. Hotel at all is overestimated!",6.7
1167,Tracey,United Kingdom,Superior Double Room,1 night ·  November 2018,Couple,Reviewed: 6 December 2018,Pleasant,Roof top bar,Open plan bathroom,6.7
1168,Mary,Jersey,Superior Twin Room,1 night ·  December 2018,Family,Reviewed: 4 December 2018,"OK. No more, no less.",Pity that we could not check-in before 15.00 to lose our bags before meeting with family at lunchtime.,Earlier check-in would be more acceptable.,6.2
1169,Abbie,United Kingdom,Superior Twin Room,1 night ·  December 2018,Couple,Reviewed: 4 December 2018,Pleasant,"The hotel was modern, it had a funky vibe and nice views.","The staff specifically emailed me previous to our stay stating that they were excited to personalise our visit. However the stay was for our anniversary and they gave us two single beds on either side of the room, even though I had already paid for a double. Disappointed as I thought they were actually going to make our stay special and instead they made it quite unpleasant.",6.7
1170,Garry,United Kingdom,Superior Double Room,1 night ·  December 2018,Couple,Reviewed: 4 December 2018,good,very clwan,breakfast on the day £25.00 each most hotels £10.00 over charged,6.7
1171,Charlie,United Kingdom,Superior Double Room,1 night ·  December 2018,Group,Reviewed: 3 December 2018,Light was leaking water,It was in a good location and easy to get too,I was sat in the bedroom and then hear the shower running but when I go into the bathroom there is water running from the ceiling light onto the floor,6.2
